ID;C2011_2012;LIB_2012;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;Surface_2
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;274,441
30920;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13205,9992;1,3206;741,9;BD ORTHO 2011;90;13207;0;0;124,456;0;119;Eckwersheim;1;13;134;6;119,511
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;246,459
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;22,324
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;368,837
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;36,509
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;12,906
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;549,085
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;54,987
29009;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13375,2213;1,3375;559,38;BD ORTHO 2011;90;13376;0;0;124,456;0;119;Eckwersheim;1;13;134;6;4138,025
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;3,776
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;0,373
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;61,467
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;18,17
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;0,276
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;49,279
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;38,322
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;0,665
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;7,359
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;66,005
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;15,628
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;66,068
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;26,738
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;78,297
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;25,585
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;53,274
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;2186,025
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;22,924
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;31,253
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;4,223
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;0,756
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;17,804
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;2045,528
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;8,315
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;113,645
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;47,148
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;139,963
31803;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13631,243;1,3631;758,22;BD ORTHO 2011;90;13632;0;0;124,456;0;119;Eckwersheim;1;13;134;6;27,024
29037;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13740,2289;1,374;471,06;BD ORTHO 2011;90;13741;0;0;124,456;0;119;Eckwersheim;1;13;134;6;61,685
29037;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13740,2289;1,374;471,06;BD ORTHO 2011;90;13741;0;0;124,456;0;119;Eckwersheim;1;13;134;6;96,62
29037;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13740,2289;1,374;471,06;BD ORTHO 2011;90;13741;0;0;124,456;0;119;Eckwersheim;1;13;134;6;127,254
29037;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13740,2289;1,374;471,06;BD ORTHO 2011;90;13741;0;0;124,456;0;119;Eckwersheim;1;13;134;6;2894,103
29037;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13740,2289;1,374;471,06;BD ORTHO 2011;90;13741;0;0;124,456;0;119;Eckwersheim;1;13;134;6;321,327
29037;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13740,2289;1,374;471,06;BD ORTHO 2011;90;13741;0;0;124,456;0;119;Eckwersheim;1;13;134;6;168,874
26147;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13840,7118;1,3841;681,3;BD ORTHO 2011;90;13841;0;0;124,456;0;119;Eckwersheim;1;13;134;6;8,654
26147;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13840,7118;1,3841;681,3;BD ORTHO 2011;90;13841;0;0;124,456;0;119;Eckwersheim;1;13;134;6;39,889
26147;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13840,7118;1,3841;681,3;BD ORTHO 2011;90;13841;0;0;124,456;0;119;Eckwersheim;1;13;134;6;50,305
26147;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13840,7118;1,3841;681,3;BD ORTHO 2011;90;13841;0;0;124,456;0;119;Eckwersheim;1;13;134;6;83,103
26147;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13840,7118;1,3841;681,3;BD ORTHO 2011;90;13841;0;0;124,456;0;119;Eckwersheim;1;13;134;6;1637,512
26147;111;Habitat continu (centre ancien, centre ville);11;Habitat;1;Territoires artificialis?s;13840,7118;1,3841;681,3;BD ORTHO 2011;90;13841;0;0;124,456;0;119;Eckwersheim;1;13;134;6;10,443
