ID;C2011_2012.C.8;Surface;SurfaceVeg
33683;122;25505;7.209
33683;122;25505;112.984
33683;122;25505;60.379
33683;122;25505;0.806
33683;122;25505;7.314
33683;122;25505;63.695
33683;122;25505;2.468
33683;122;25505;48.973
33683;122;25505;12.251
33683;122;25505;3.583
33683;122;25505;16.101
33683;122;25505;2.607
33683;122;25505;6.612
33683;122;25505;225.62
33683;122;25505;56.286
33683;122;25505;533.079
33683;122;25505;473.947
33683;122;25505;0.229
33683;122;25505;9.358
33683;122;25505;940.942
33683;122;25505;47.142
33731;125;7265;37.931
33731;125;7265;5.079
33731;125;7265;2.652
33731;125;7265;23.339
33731;125;7265;14.054
33731;125;7265;11.268
33731;125;7265;24.996
33731;125;7265;8.684
33731;125;7265;6.561
33731;125;7265;19.351
33731;125;7265;12.258
33731;125;7265;8.407
33731;125;7265;1.153
33731;125;7265;11.046
33731;125;7265;65.544
33731;125;7265;58.213
33731;125;7265;607.964
33731;125;7265;3.812
33731;125;7265;4.961
33731;125;7265;212.86
33731;125;7265;12.581
33731;125;7265;4.953
33731;125;7265;656.547
33731;125;7265;22.27
33731;125;7265;14.799
33731;125;7265;5.363
33731;125;7265;11.108
33731;125;7265;103.844
33731;125;7265;544.449
33731;125;7265;5.393
33731;125;7265;8.29
33731;125;7265;16.034
33731;125;7265;0.648
33731;125;7265;6.013
33731;125;7265;32.261
33731;125;7265;19.871
33731;125;7265;3.176
33731;125;7265;18.228
33731;125;7265;53.552
33731;125;7265;14.721
33731;125;7265;531.571
33731;125;7265;257.199
33731;125;7265;262.738
33716;124;10063;15.639
33716;124;10063;10.688
33716;124;10063;0.606
33716;124;10063;12.228
33716;124;10063;33.731
33716;124;10063;13.201
33716;124;10063;22.572
33716;124;10063;4.679
33716;124;10063;6.953
33716;124;10063;299.39
33716;124;10063;2245.071
33716;124;10063;8.507
33716;124;10063;23.844
33716;124;10063;141.674
33716;124;10063;2.298
33716;124;10063;724.377
33716;124;10063;131.132
33716;124;10063;131.335
33716;124;10063;55.465
33716;124;10063;11.713
33716;124;10063;412.741
33716;124;10063;21.911
33716;124;10063;47.225
33716;124;10063;23.128
33716;124;10063;23.851
33716;124;10063;63.134
33716;124;10063;26.752
33716;124;10063;102.765
33716;124;10063;30.577
33716;124;10063;0.833
33716;124;10063;124.3
33716;124;10063;621.211
33716;124;10063;70.078
33716;124;10063;3.244
33716;124;10063;48.663
33716;124;10063;1.929
33599;125;6469;0.288
33599;125;6469;6.762
33599;125;6469;25.491
33599;125;6469;67.836
33599;125;6469;4.734
33599;125;6469;22.994
33599;125;6469;198.094
33599;125;6469;2.728
33599;125;6469;68.212
33599;125;6469;49.76
33599;125;6469;72.437
33599;125;6469;31.863
33599;125;6469;27.371
33599;125;6469;5.61
33599;125;6469;518.274
33599;125;6469;5.454
33599;125;6469;23.494
33599;125;6469;54.398
33599;125;6469;21.082
33599;125;6469;11.839
33599;125;6469;335.646
33599;125;6469;10.37
33599;125;6469;158.612
33599;125;6469;279.438
33599;125;6469;427.486
33599;125;6469;6.211
33599;125;6469;1.682
33599;125;6469;7.224
33599;125;6469;36.185
33599;125;6469;15.917
33599;125;6469;0.277
33599;125;6469;602.56
33386;123;6455;26.423
33386;123;6455;6.095
33386;123;6455;16.214
33386;123;6455;15.751
33386;123;6455;62.585
33386;123;6455;1.068
33386;123;6455;1.897
33386;123;6455;110.511
33386;123;6455;26.353
33386;123;6455;119.868
33386;123;6455;22.664
33386;123;6455;49.869
33386;123;6455;96.211
33386;123;6455;204.311
33386;123;6455;466.804
33386;123;6455;154.361
33386;123;6455;61.268
33386;123;6455;50.843
33386;123;6455;94.054
33336;125;10013;0.267
33336;125;10013;25.281
33336;125;10013;199.477
33336;125;10013;18.152
33336;125;10013;20.557
33336;125;10013;21.27
33336;125;10013;5.406
33336;125;10013;14.386
33336;125;10013;42.273
33336;125;10013;28.772
33336;125;10013;0.556
33336;125;10013;57.207
33336;125;10013;17.853
33336;125;10013;81.224
33336;125;10013;2.834
33336;125;10013;44.793
33336;125;10013;39.081
33336;125;10013;39.249
33336;125;10013;6.751
33336;125;10013;24.264
33336;125;10013;94.725
33336;125;10013;17.707
33336;125;10013;89.088
33336;125;10013;115.944
33336;125;10013;4.081
