fid;ID;C2011_2012;LIB_2012.;C2012_NIV2;LIB2012_N2;C2012_NIV1;LIB2012_N1;SURFACE_M2;SURFACE_HA;PERIMETRE;SOURCE2012;FIAB_2012;Surface;Forbois;Ripi;Area;Align_haie;NUM_COMMUN;NOM_COMMUN;Niv1;Niv2;NivFinal;SourceID;SurfaceVeg
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;10.4187;0;482;Strasbourg;1;13;134;6;6.256
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;50.7694;0;482;Strasbourg;1;13;134;6;17.964
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;50.7694;0;482;Strasbourg;1;13;134;6;32.665
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;77.027;0;482;Strasbourg;1;13;134;6;77.757
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;42.2136;0;482;Strasbourg;1;13;134;6;42.078
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;952.63;0;482;Strasbourg;1;13;134;6;2.96
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;952.63;0;482;Strasbourg;1;13;134;6;955.67
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;132.015;0;482;Strasbourg;1;13;134;6;21.245
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;132.015;0;482;Strasbourg;1;13;134;6;111.216
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;95.2903;0;482;Strasbourg;1;13;134;6;95.665
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;479.6;0;482;Strasbourg;1;12;123;4;4.635
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;479.6;0;482;Strasbourg;1;12;123;4;6.293
149;31794;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;13357.4856;1.3357;500.52;BD ORTHO 2011;75;13359;0;0;48868.7;0;482;Strasbourg;1;13;134;6;18.108
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;841.452;1;482;Strasbourg;1;12;122;4;0.342
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;30.3067;0;482;Strasbourg;1;12;124;4;9.527
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;21.9218;0;482;Strasbourg;1;12;124;4;8.584
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;7.24268;0;482;Strasbourg;1;12;124;4;4.049
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;42.172;0;482;Strasbourg;1;12;124;4;0.803
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;1061.54;1;482;Strasbourg;1;12;122;4;1.212
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;1061.54;1;482;Strasbourg;1;12;122;4;27.256
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;19120.5;0;482;Strasbourg;1;13;134;6;877.883
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;19120.5;0;482;Strasbourg;1;13;134;6;32.593
148;31779;152;Autres espaces libres;15;Espaces libres;1;Territoires artificialis?s;7551.7408;0.7552;365.41;BD ORTHO 2011;75;7552;0;0;19120.5;0;482;Strasbourg;1;13;134;6;4185.318
